1001,3.64E-06,3.24E-06,Decent_Best_run1,Decent_Average_run1
1000,3.64E-06,3.24E-06,3.74E-06,3.24E-06
1001,3.64E-06,3.25E-06,3.74E-06,3.25E-06
1000,3.64E-06,3.25E-06,3.74E-06,3.25E-06
1001,3.64E-06,3.25E-06,3.74E-06,3.26E-06
1000,3.64E-06,3.26E-06,3.74E-06,3.26E-06
1001,3.64E-06,3.26E-06,3.74E-06,3.26E-06
1000,3.64E-06,3.26E-06,3.74E-06,3.27E-06
1001,3.64E-06,3.26E-06,3.74E-06,3.27E-06
1000,3.64E-06,3.26E-06,3.74E-06,3.28E-06
1001,3.64E-06,3.26E-06,3.74E-06,3.28E-06
1000,3.64E-06,3.27E-06,3.74E-06,3.28E-06
1001,3.64E-06,3.27E-06,3.74E-06,3.29E-06
1000,3.64E-06,3.27E-06,3.74E-06,3.29E-06
1001,3.64E-06,3.27E-06,3.74E-06,3.29E-06
1000,3.64E-06,3.28E-06,3.74E-06,3.29E-06
1001,3.64E-06,3.27E-06,3.74E-06,3.29E-06
1000,3.64E-06,3.28E-06,3.74E-06,3.30E-06
1001,3.64E-06,3.28E-06,3.74E-06,3.30E-06
1000,3.64E-06,3.28E-06,3.74E-06,3.30E-06
1001,3.64E-06,3.29E-06,3.74E-06,3.31E-06
1000,3.64E-06,3.28E-06,3.74E-06,3.30E-06
1001,3.64E-06,3.28E-06,3.74E-06,3.30E-06
1000,3.64E-06,3.29E-06,3.74E-06,3.31E-06
1001,3.64E-06,3.29E-06,3.74E-06,3.31E-06
1000,3.64E-06,3.29E-06,3.74E-06,3.32E-06
1001,3.64E-06,3.29E-06,3.74E-06,3.32E-06
1000,3.64E-06,3.30E-06,3.74E-06,3.32E-06
1001,3.64E-06,3.30E-06,3.74E-06,3.32E-06
1000,3.64E-06,3.30E-06,3.74E-06,3.32E-06
1001,3.64E-06,3.30E-06,3.74E-06,3.33E-06
1000,3.64E-06,3.31E-06,3.74E-06,3.33E-06
1001,3.64E-06,3.31E-06,3.74E-06,3.33E-06
1000,3.64E-06,3.31E-06,3.74E-06,3.33E-06
1001,3.64E-06,3.31E-06,3.74E-06,3.34E-06
1000,3.64E-06,3.32E-06,3.74E-06,3.34E-06
1001,3.64E-06,3.32E-06,3.74E-06,3.34E-06
1000,3.64E-06,3.31E-06,3.74E-06,3.34E-06
1001,3.64E-06,3.32E-06,3.74E-06,3.34E-06
1000,3.64E-06,3.32E-06,3.74E-06,3.36E-06
1001,3.64E-06,3.32E-06,3.74E-06,3.35E-06
1000,3.64E-06,3.33E-06,3.74E-06,3.36E-06
1001,3.64E-06,3.33E-06,3.74E-06,3.36E-06
1000,3.64E-06,3.33E-06,3.74E-06,3.36E-06
1001,3.64E-06,3.33E-06,3.74E-06,3.36E-06
1000,3.64E-06,3.33E-06,3.74E-06,3.37E-06
1001,3.64E-06,3.33E-06,3.74E-06,3.37E-06
1000,3.64E-06,3.34E-06,3.74E-06,3.37E-06
1001,3.64E-06,3.34E-06,3.74E-06,3.37E-06
1000,3.64E-06,3.34E-06,3.74E-06,3.38E-06
1001,3.64E-06,3.34E-06,3.74E-06,3.38E-06
1000,3.64E-06,3.34E-06,3.74E-06,3.38E-06
1001,3.64E-06,3.34E-06,3.74E-06,3.38E-06
1000,3.64E-06,3.35E-06,3.74E-06,3.38E-06
1001,3.64E-06,3.35E-06,3.74E-06,3.39E-06
1000,3.64E-06,3.35E-06,3.74E-06,3.39E-06
1001,3.64E-06,3.35E-06,3.74E-06,3.39E-06
1000,3.64E-06,3.35E-06,3.74E-06,3.39E-06
1001,3.64E-06,3.35E-06,3.74E-06,3.40E-06
1000,3.64E-06,3.35E-06,3.74E-06,3.40E-06
1001,3.64E-06,3.35E-06,3.74E-06,3.40E-06
1000,3.64E-06,3.36E-06,3.74E-06,3.41E-06
1001,3.64E-06,3.35E-06,3.74E-06,3.41E-06
1000,3.64E-06,3.35E-06,3.74E-06,3.41E-06
1001,3.64E-06,3.36E-06,3.74E-06,3.41E-06
1000,3.64E-06,3.36E-06,3.74E-06,3.41E-06
1001,3.64E-06,3.36E-06,3.74E-06,3.41E-06
1000,3.64E-06,3.36E-06,3.74E-06,3.42E-06
1001,3.64E-06,3.37E-06,3.74E-06,3.42E-06
1000,3.64E-06,3.37E-06,3.74E-06,3.42E-06
1001,3.64E-06,3.37E-06,3.74E-06,3.42E-06
1000,3.64E-06,3.37E-06,3.74E-06,3.43E-06
1001,3.64E-06,3.37E-06,3.74E-06,3.42E-06
1000,3.64E-06,3.37E-06,3.74E-06,3.43E-06
1001,3.64E-06,3.37E-06,3.74E-06,3.43E-06
1000,3.64E-06,3.38E-06,3.74E-06,3.43E-06
1001,3.64E-06,3.38E-06,3.74E-06,3.43E-06
1000,3.64E-06,3.38E-06,3.74E-06,3.44E-06
1001,3.64E-06,3.38E-06,3.74E-06,3.44E-06
1000,3.64E-06,3.38E-06,3.74E-06,3.44E-06
1001,3.64E-06,3.38E-06,3.74E-06,3.44E-06
1000,3.64E-06,3.39E-06,3.74E-06,3.44E-06
1001,3.64E-06,3.38E-06,3.74E-06,3.44E-06
1000,3.64E-06,3.39E-06,3.74E-06,3.44E-06
1001,3.64E-06,3.39E-06,3.74E-06,3.44E-06
1000,3.64E-06,3.39E-06,3.74E-06,3.45E-06
1001,3.64E-06,3.39E-06,3.74E-06,3.44E-06
1000,3.64E-06,3.40E-06,3.74E-06,3.45E-06
1001,3.64E-06,3.40E-06,3.74E-06,3.45E-06
1000,3.64E-06,3.40E-06,3.74E-06,3.44E-06
1001,3.64E-06,3.40E-06,3.74E-06,3.45E-06
1000,3.64E-06,3.40E-06,3.74E-06,3.45E-06
1001,3.64E-06,3.40E-06,3.74E-06,3.45E-06
1000,3.64E-06,3.40E-06,3.74E-06,3.45E-06
1001,3.64E-06,3.40E-06,3.74E-06,3.46E-06
1000,3.64E-06,3.40E-06,3.74E-06,3.46E-06
1001,3.64E-06,3.40E-06,3.74E-06,3.46E-06
1000,3.64E-06,3.40E-06,3.74E-06,3.46E-06
1001,3.64E-06,3.40E-06,3.74E-06,3.46E-06
1000,3.64E-06,3.40E-06,3.74E-06,3.46E-06
1001,3.64E-06,3.40E-06,3.74E-06,3.46E-06
1000,3.64E-06,3.40E-06,3.74E-06,3.46E-06
1001,3.64E-06,3.40E-06,3.74E-06,3.47E-06
1000,3.64E-06,3.41E-06,3.74E-06,3.47E-06
1001,3.64E-06,3.41E-06,3.74E-06,3.47E-06
1000,3.64E-06,3.41E-06,3.74E-06,3.47E-06
1001,3.64E-06,3.41E-06,3.74E-06,3.47E-06
1000,3.64E-06,3.41E-06,3.74E-06,3.47E-06
1001,3.64E-06,3.41E-06,3.74E-06,3.48E-06
1000,3.64E-06,3.42E-06,3.74E-06,3.48E-06
1001,3.64E-06,3.42E-06,3.74E-06,3.48E-06
1000,3.64E-06,3.42E-06,3.74E-06,3.48E-06
1001,3.64E-06,3.42E-06,3.74E-06,3.48E-06
1000,3.64E-06,3.42E-06,3.74E-06,3.48E-06
1001,3.64E-06,3.42E-06,3.74E-06,3.49E-06
1000,3.64E-06,3.42E-06,3.74E-06,3.49E-06
1001,3.64E-06,3.42E-06,3.74E-06,3.49E-06
1000,3.64E-06,3.42E-06,3.74E-06,3.49E-06
1001,3.64E-06,3.42E-06,3.74E-06,3.49E-06
1000,3.64E-06,3.42E-06,3.74E-06,3.49E-06
1001,3.64E-06,3.42E-06,3.74E-06,3.49E-06
1000,3.64E-06,3.42E-06,3.74E-06,3.49E-06
1001,3.64E-06,3.42E-06,3.74E-06,3.49E-06
1000,3.64E-06,3.42E-06,3.74E-06,3.49E-06
1001,3.64E-06,3.42E-06,3.74E-06,3.49E-06
1000,3.64E-06,3.43E-06,3.74E-06,3.50E-06
1001,3.64E-06,3.42E-06,3.74E-06,3.50E-06
1000,3.64E-06,3.43E-06,3.74E-06,3.50E-06
1001,3.64E-06,3.43E-06,3.74E-06,3.50E-06
1000,3.64E-06,3.43E-06,3.74E-06,3.50E-06
1001,3.64E-06,3.43E-06,3.74E-06,3.50E-06
1000,3.64E-06,3.43E-06,3.74E-06,3.50E-06
1001,3.64E-06,3.43E-06,3.74E-06,3.51E-06
1000,3.64E-06,3.43E-06,3.74E-06,3.51E-06
1001,3.64E-06,3.43E-06,3.74E-06,3.51E-06
1000,3.64E-06,3.43E-06,3.74E-06,3.51E-06
1001,3.64E-06,3.43E-06,3.74E-06,3.51E-06
1000,3.64E-06,3.43E-06,3.74E-06,3.52E-06
1001,3.64E-06,3.43E-06,3.74E-06,3.52E-06
1000,3.64E-06,3.44E-06,3.74E-06,3.52E-06
1001,3.64E-06,3.43E-06,3.74E-06,3.52E-06
1000,3.64E-06,3.43E-06,3.74E-06,3.52E-06
1001,3.64E-06,3.43E-06,3.74E-06,3.51E-06
1000,3.64E-06,3.43E-06,3.74E-06,3.51E-06
